exec_time,reprod,repeat,tool,site,th_oxide,ri_sige,th_sige,GOF 
0,1,1,QFX1001,1,2.8768,27.9672,91.3146,0.8911
0,1,1,QFX1001,2,2.9174,27.962,88.7189,0.8952
0,1,1,QFX1001,3,3.0534,27.9883,87.7529,0.8988
0,1,1,QFX1001,4,3.0699,27.9698,88.1033,0.8952
0,1,1,QFX1001,5,2.9877,27.9726,87.5407,0.8954
0,1,1,QFX1001,6,2.9656,27.9725,88.654,0.8947
0,1,1,QFX1001,7,3.1267,27.9691,90.0054,0.8927
0,1,1,QFX1001,8,2.8226,28.0335,88.8976,0.8993
0,1,1,QFX1001,9,3.5913,27.9602,88.2237,0.8939
0,1,1,QFX1001,10,3.7521,27.9873,87.9821,0.8976
0,1,1,QFX1001,11,3.9671,27.9711,87.4903,0.8972
0,1,1,QFX1001,12,4.0065,27.9778,88.3878,0.8972
0,1,1,QFX1001,13,3.768,27.9675,87.6378,0.8972
0,1,1,QFX1001,14,2.6454,28.03,89.3415,0.8988
0,1,1,QFX1001,15,2.9999,27.9852,88.1469,0.8949
0,1,1,QFX1001,16,3.3563,27.9788,87.1844,0.8972
0,1,1,QFX1001,17,3.1252,27.9697,87.9573,0.8957
0,1,2,QFX1001,1,2.955,27.9746,91.2626,0.8915
0,1,2,QFX1001,2,2.949,27.9771,88.6664,0.896
0,1,2,QFX1001,3,3.0596,27.9909,87.8157,0.8987
0,1,2,QFX1001,4,3.1502,27.9802,88.0928,0.8973
0,1,2,QFX1001,5,3.0944,27.9695,87.5523,0.8972
0,1,2,QFX1001,6,2.9575,27.9684,88.7325,0.8932
0,1,2,QFX1001,7,3.1959,27.9633,89.9479,0.8932
0,1,2,QFX1001,8,2.8787,28.0329,89.0195,0.8984
0,1,2,QFX1001,9,3.6279,27.9679,88.2854,0.8963
0,1,2,QFX1001,10,3.8151,27.9858,87.9602,0.8978
0,1,2,QFX1001,11,3.993,27.9785,87.4471,0.8979
0,1,2,QFX1001,12,3.9557,27.9851,88.3645,0.8962
0,1,2,QFX1001,13,3.7671,27.9628,87.6516,0.8966
0,1,2,QFX1001,14,2.6523,28.0441,89.3495,0.8989
0,1,2,QFX1001,15,3.0374,27.978,88.2228,0.8951
0,1,2,QFX1001,16,3.3506,27.9861,87.1881,0.896
0,1,2,QFX1001,17,3.1066,27.964,87.9809,0.8955
0,1,3,QFX1001,1,2.9953,27.9603,91.2843,0.8916
0,1,3,QFX1001,2,2.9117,27.9719,88.7788,0.8946
0,1,3,QFX1001,3,3.024,27.991,87.8271,0.8982
0,1,3,QFX1001,4,3.1542,27.978,88.1864,0.8959
0,1,3,QFX1001,5,3.1174,27.9671,87.5671,0.8958
0,1,3,QFX1001,6,3.0921,27.9663,88.4532,0.8913
0,1,3,QFX1001,7,3.2308,27.9621,89.9923,0.8934
0,1,3,QFX1001,8,2.9012,28.0332,88.8756,0.8973
0,1,3,QFX1001,9,3.6262,27.9676,88.2522,0.8944
0,1,3,QFX1001,10,3.824,27.9823,87.9936,0.8985
0,1,3,QFX1001,11,3.9913,27.9767,87.463,0.8966
0,1,3,QFX1001,12,4.0578,27.9668,88.4117,0.8961
0,1,3,QFX1001,13,3.854,27.9617,87.6832,0.8964
0,1,3,QFX1001,14,2.6532,28.0362,89.4173,0.8991
0,1,3,QFX1001,15,3.1181,27.9777,88.0958,0.8942
0,1,3,QFX1001,16,3.4308,27.9891,87.1482,0.8971
0,1,3,QFX1001,17,3.128,27.9793,87.937,0.8968
0,1,4,QFX1001,1,3.0215,27.9606,91.3557,0.8909
0,1,4,QFX1001,2,3.004,27.9715,88.7782,0.8962
0,1,4,QFX1001,3,3.0416,27.9941,87.8659,0.8987
0,1,4,QFX1001,4,3.2381,27.9768,88.1452,0.8968
0,1,4,QFX1001,5,3.1712,27.9697,87.4901,0.8964
0,1,4,QFX1001,6,3.1154,27.9625,88.659,0.8927
0,1,4,QFX1001,7,3.2603,27.9761,89.9834,0.894
0,1,4,QFX1001,8,2.9306,28.0387,88.9388,0.8988
0,1,4,QFX1001,9,3.6187,27.9691,88.2616,0.895
0,1,4,QFX1001,10,3.8866,27.9886,87.9686,0.8984
0,1,4,QFX1001,11,4.0177,27.9766,87.5191,0.8976
0,1,4,QFX1001,12,4.0878,27.974,88.4209,0.8957
0,1,4,QFX1001,13,3.9321,27.9595,87.6478,0.8958
0,1,4,QFX1001,14,2.6994,28.0291,89.3712,0.8985
0,1,4,QFX1001,15,3.1535,27.9759,88.0372,0.8942
0,1,4,QFX1001,16,3.4852,27.9873,87.2236,0.8976
0,1,4,QFX1001,17,3.1766,27.9789,87.884,0.8964
0,1,5,QFX1001,1,3.0805,27.9639,91.3832,0.8924
0,1,5,QFX1001,2,3.0537,27.9711,88.7136,0.8952
0,1,5,QFX1001,3,3.1078,27.993,87.8438,0.8984
0,1,5,QFX1001,4,3.1981,27.9764,88.2034,0.8946
0,1,5,QFX1001,5,3.1666,27.9647,87.5171,0.8961
0,1,5,QFX1001,6,3.152,27.9733,88.5211,0.8927
0,1,5,QFX1001,7,3.2746,27.9676,90.0312,0.894
0,1,5,QFX1001,8,2.943,28.0406,88.9989,0.8987
0,1,5,QFX1001,9,3.6822,27.9794,88.3033,0.895
0,1,5,QFX1001,10,3.883,27.9903,87.9885,0.8982
0,1,5,QFX1001,11,4.1017,27.9772,87.5236,0.8981
0,1,5,QFX1001,12,4.1151,27.9804,88.4124,0.8968
0,1,5,QFX1001,13,3.9181,27.9569,87.6754,0.8966
0,1,5,QFX1001,14,2.7444,28.0296,89.3347,0.8985
0,1,5,QFX1001,15,3.2079,27.9794,88.1296,0.8958
0,1,5,QFX1001,16,3.497,27.9877,87.1329,0.8962
0,1,5,QFX1001,17,3.2174,27.9782,87.9624,0.8967
15668,1,1,QFX1002,1,3.5344,28.3869,89.946,0.913
15668,1,1,QFX1002,2,3.4285,28.4125,87.8389,0.9165
15668,1,1,QFX1002,3,3.5632,28.418,86.7361,0.9153
15668,1,1,QFX1002,4,3.7042,28.4051,87.0678,0.9148
15668,1,1,QFX1002,5,3.5974,28.4135,86.7576,0.9201
15668,1,1,QFX1002,6,3.6503,28.4147,87.4717,0.919
15668,1,1,QFX1002,7,3.7414,28.3964,88.6632,0.9112
15668,1,1,QFX1002,8,3.3847,28.494,87.9582,0.9195
15668,1,1,QFX1002,9,4.07,28.4181,87.4459,0.9198
15668,1,1,QFX1002,10,4.3719,28.4296,86.9052,0.9156
15668,1,1,QFX1002,11,4.67,28.4145,86.2776,0.9139
15668,1,1,QFX1002,12,4.5882,28.4231,87.5132,0.9163
15668,1,1,QFX1002,13,4.4483,28.4166,86.9351,0.92
15668,1,1,QFX1002,14,3.2902,28.4891,88.541,0.9204
15668,1,1,QFX1002,15,3.7966,28.4193,86.9925,0.9185
15668,1,1,QFX1002,16,3.9139,28.4304,86.3021,0.9178
15668,1,1,QFX1002,17,3.684,28.4266,86.9431,0.9173
15668,1,2,QFX1002,1,3.6346,28.4031,89.9827,0.9131
15668,1,2,QFX1002,2,3.5204,28.4332,87.9745,0.9187
15668,1,2,QFX1002,3,3.6547,28.4229,86.7915,0.9166
15668,1,2,QFX1002,4,3.8034,28.4044,87.1383,0.9148
15668,1,2,QFX1002,5,3.7149,28.4159,86.7996,0.9198
15668,1,2,QFX1002,6,3.7414,28.4187,87.4598,0.919
15668,1,2,QFX1002,7,3.7858,28.4061,88.771,0.9115
15668,1,2,QFX1002,8,3.4572,28.4953,87.9905,0.9199
15668,1,2,QFX1002,9,4.1355,28.4348,87.4807,0.9204
15668,1,2,QFX1002,10,4.4424,28.4307,86.944,0.9166
15668,1,2,QFX1002,11,4.758,28.4165,86.2745,0.9142
15668,1,2,QFX1002,12,4.6733,28.4265,87.5469,0.9168
15668,1,2,QFX1002,13,4.5609,28.4157,86.9024,0.9199
15668,1,2,QFX1002,14,3.3631,28.4913,88.5203,0.9198
15668,1,2,QFX1002,15,3.9076,28.4166,86.9758,0.9188
15668,1,2,QFX1002,16,3.993,28.4287,86.3137,0.9175
15668,1,2,QFX1002,17,3.765,28.4279,87.0151,0.9181
15668,1,3,QFX1002,1,3.7466,28.3957,89.9671,0.9134
15668,1,3,QFX1002,2,3.6292,28.4264,87.9137,0.9186
15668,1,3,QFX1002,3,3.7666,28.4223,86.7568,0.917
15668,1,3,QFX1002,4,3.9184,28.4093,87.1013,0.9159
15668,1,3,QFX1002,5,3.8258,28.4177,86.7652,0.9197
15668,1,3,QFX1002,6,3.8881,28.4144,87.4745,0.9187
15668,1,3,QFX1002,7,3.8816,28.4066,88.7573,0.9113
15668,1,3,QFX1002,8,3.5213,28.4929,88.0383,0.9204
15668,1,3,QFX1002,9,4.2215,28.4324,87.5498,0.921
15668,1,3,QFX1002,10,4.5271,28.4336,86.9991,0.9174
15668,1,3,QFX1002,11,4.858,28.4228,86.3228,0.9149
15668,1,3,QFX1002,12,4.7633,28.4308,87.5165,0.9173
15668,1,3,QFX1002,13,4.6466,28.4158,86.8704,0.9195
15668,1,3,QFX1002,14,3.46,28.4903,88.516,0.9203
15668,1,3,QFX1002,15,4.047,28.4236,86.9895,0.9183
15668,1,3,QFX1002,16,4.0734,28.4369,86.3026,0.9184
15668,1,3,QFX1002,17,3.8354,28.4259,87.0301,0.9176
15668,1,4,QFX1002,1,3.8566,28.3992,89.9716,0.9139
15668,1,4,QFX1002,2,3.7344,28.4226,87.9006,0.9172
15668,1,4,QFX1002,3,3.8655,28.4273,86.7936,0.918
15668,1,4,QFX1002,4,4.0318,28.4113,87.0749,0.9159
15668,1,4,QFX1002,5,3.9383,28.417,86.772,0.92
15668,1,4,QFX1002,6,3.9938,28.4114,87.4473,0.9188
15668,1,4,QFX1002,7,3.9786,28.4071,88.7519,0.9124
15668,1,4,QFX1002,8,3.5741,28.4991,88.0367,0.9205
15668,1,4,QFX1002,9,4.2802,28.4332,87.5529,0.921
15668,1,4,QFX1002,10,4.6117,28.4336,86.977,0.9167
15668,1,4,QFX1002,11,4.9344,28.4216,86.2895,0.9146
15668,1,4,QFX1002,12,4.8745,28.4323,87.5649,0.9163
15668,1,4,QFX1002,13,4.7521,28.4219,86.8795,0.9199
15668,1,4,QFX1002,14,3.5296,28.4936,88.5072,0.9208
15668,1,4,QFX1002,15,4.1312,28.4157,86.9782,0.9192
15668,1,4,QFX1002,16,4.1644,28.4325,86.2612,0.9179
15668,1,4,QFX1002,17,3.9318,28.4334,87.0445,0.9188
15668,1,5,QFX1002,1,3.9676,28.4014,89.9875,0.9142
15668,1,5,QFX1002,2,3.8157,28.4338,87.9367,0.919
15668,1,5,QFX1002,3,3.9638,28.4222,86.7768,0.9169
15668,1,5,QFX1002,4,4.1403,28.4181,87.092,0.9167
15668,1,5,QFX1002,5,4.04,28.4161,86.752,0.9192
15668,1,5,QFX1002,6,4.0887,28.4201,87.4481,0.919
15668,1,5,QFX1002,7,4.0494,28.4087,88.7256,0.9123
15668,1,5,QFX1002,8,3.653,28.497,88.0188,0.9205
15668,1,5,QFX1002,9,4.3706,28.4356,87.5308,0.9204
15668,1,5,QFX1002,10,4.7131,28.4407,87.0456,0.9196
15668,1,5,QFX1002,11,5.0237,28.4208,86.3198,0.915
15668,1,5,QFX1002,12,4.9419,28.4239,87.4936,0.9172
15668,1,5,QFX1002,13,4.8562,28.4181,86.8931,0.9194
15668,1,5,QFX1002,14,3.6119,28.4971,88.4901,0.92
15668,1,5,QFX1002,15,4.2284,28.423,86.9452,0.9185
15668,1,5,QFX1002,16,4.227,28.4355,86.3044,0.9178
15668,1,5,QFX1002,17,4.0184,28.4332,87.0216,0.919
10795,1,1,QFX1003,1,3.4723,28.0508,91.3229,0.9265
10795,1,1,QFX1003,2,3.3573,28.054,88.8815,0.9291
10795,1,1,QFX1003,3,3.4757,28.0709,87.8251,0.9304
10795,1,1,QFX1003,4,3.6554,28.0475,87.7957,0.9274
10795,1,1,QFX1003,5,3.5493,28.0462,87.464,0.929
10795,1,1,QFX1003,6,3.5554,28.0352,88.2893,0.9286
10795,1,1,QFX1003,7,3.6763,28.0389,89.8706,0.9259
10795,1,1,QFX1003,8,3.2501,28.1166,89.0179,0.9334
10795,1,1,QFX1003,9,4.0106,28.0519,88.4196,0.9309
10795,1,1,QFX1003,10,4.2888,28.0614,87.9148,0.9309
10795,1,1,QFX1003,11,4.5449,28.0263,87.0872,0.9275
10795,1,1,QFX1003,12,4.4947,28.08,88.4083,0.9299
10795,1,1,QFX1003,13,4.3564,28.0414,87.5276,0.9297
10795,1,1,QFX1003,14,3.0736,28.1166,89.5014,0.9313
10795,1,1,QFX1003,15,3.6501,28.0488,87.9801,0.9298
10795,1,1,QFX1003,16,3.7799,28.0681,87.5228,0.9304
10795,1,1,QFX1003,17,3.5549,28.0581,87.9861,0.9311
10795,1,2,QFX1003,1,3.4832,28.0493,91.3169,0.9262
10795,1,2,QFX1003,2,3.359,28.0561,88.9536,0.929
10795,1,2,QFX1003,3,3.4658,28.0656,87.8223,0.9295
10795,1,2,QFX1003,4,3.6778,28.0423,87.7865,0.927
10795,1,2,QFX1003,5,3.5807,28.0403,87.4706,0.9289
10795,1,2,QFX1003,6,3.5927,28.0347,88.2702,0.928
10795,1,2,QFX1003,7,3.7102,28.0407,89.8536,0.9265
10795,1,2,QFX1003,8,3.2797,28.1216,89.0255,0.9326
10795,1,2,QFX1003,9,4.0615,28.0511,88.3612,0.9297
10795,1,2,QFX1003,10,4.2889,28.0595,87.9323,0.9313
10795,1,2,QFX1003,11,4.5627,28.0475,87.1074,0.9285
10795,1,2,QFX1003,12,4.519,28.0608,88.3895,0.9291
10795,1,2,QFX1003,13,4.3847,28.0459,87.5418,0.9302
10795,1,2,QFX1003,14,3.1133,28.1193,89.5057,0.9319
10795,1,2,QFX1003,15,3.6951,28.0514,87.947,0.9296
10795,1,2,QFX1003,16,3.8165,28.0774,87.5022,0.9299
10795,1,2,QFX1003,17,3.5904,28.0576,87.956,0.9301
10795,1,3,QFX1003,1,3.5122,28.0533,91.2874,0.9262
10795,1,3,QFX1003,2,3.4016,28.0551,88.9233,0.9286
10795,1,3,QFX1003,3,3.5196,28.0646,87.8187,0.9302
10795,1,3,QFX1003,4,3.7183,28.0408,87.7283,0.9275
10795,1,3,QFX1003,5,3.6403,28.0453,87.4574,0.9298
10795,1,3,QFX1003,6,3.6499,28.042,88.2862,0.9286
10795,1,3,QFX1003,7,3.7276,28.0539,89.7892,0.9258
10795,1,3,QFX1003,8,3.3244,28.1139,88.9994,0.9317
10795,1,3,QFX1003,9,4.0787,28.0508,88.3853,0.929
10795,1,3,QFX1003,10,4.3261,28.0715,87.8964,0.9309
10795,1,3,QFX1003,11,4.595,28.0409,87.0578,0.9288
10795,1,3,QFX1003,12,4.5473,28.0536,88.3543,0.9293
10795,1,3,QFX1003,13,4.4454,28.0485,87.5195,0.9289
10795,1,3,QFX1003,14,3.1859,28.1174,89.4144,0.9315
10795,1,3,QFX1003,15,3.7194,28.0401,87.8987,0.9294
10795,1,3,QFX1003,16,3.8423,28.0695,87.5171,0.9314
10795,1,3,QFX1003,17,3.6372,28.0497,87.9623,0.9301
10795,1,4,QFX1003,1,3.5351,28.0496,91.3043,0.9261
10795,1,4,QFX1003,2,3.4517,28.0589,88.9228,0.9276
10795,1,4,QFX1003,3,3.5617,28.0683,87.8745,0.9301
10795,1,4,QFX1003,4,3.7777,28.0451,87.7938,0.9266
10795,1,4,QFX1003,5,3.6553,28.0463,87.3951,0.9297
10795,1,4,QFX1003,6,3.682,28.0386,88.2427,0.9291
10795,1,4,QFX1003,7,3.7599,28.0436,89.8383,0.9254
10795,1,4,QFX1003,8,3.3993,28.1164,88.9733,0.9331
10795,1,4,QFX1003,9,4.1127,28.0558,88.4303,0.93
10795,1,4,QFX1003,10,4.3716,28.0757,87.9291,0.9313
10795,1,4,QFX1003,11,4.6412,28.0374,87.0764,0.9281
10795,1,4,QFX1003,12,4.5935,28.0713,88.3896,0.9292
10795,1,4,QFX1003,13,4.4729,28.0461,87.5429,0.9299
10795,1,4,QFX1003,14,3.2787,28.1284,89.4101,0.9321
10795,1,4,QFX1003,15,3.7718,28.0451,87.8461,0.9292
10795,1,4,QFX1003,16,3.8822,28.0716,87.5226,0.9301
10795,1,4,QFX1003,17,3.6463,28.0546,88.0163,0.9295
10795,1,5,QFX1003,1,3.614,28.0485,91.2679,0.9254
10795,1,5,QFX1003,2,3.5014,28.054,88.8668,0.9285
10795,1,5,QFX1003,3,3.6001,28.0638,87.862,0.9301
10795,1,5,QFX1003,4,3.7947,28.0355,87.6992,0.9261
10795,1,5,QFX1003,5,3.6965,28.0425,87.4475,0.9291
10795,1,5,QFX1003,6,3.7019,28.0318,88.2724,0.9292
10795,1,5,QFX1003,7,3.769,28.0426,89.8728,0.9258
10795,1,5,QFX1003,8,3.4401,28.1207,88.9686,0.9328
10795,1,5,QFX1003,9,4.1257,28.051,88.3983,0.9291
10795,1,5,QFX1003,10,4.3961,28.0607,87.9256,0.9307
10795,1,5,QFX1003,11,4.6936,28.0598,87.0744,0.9283
10795,1,5,QFX1003,12,4.5974,28.061,88.3358,0.9297
10795,1,5,QFX1003,13,4.5206,28.0472,87.4774,0.93
10795,1,5,QFX1003,14,3.3197,28.1225,89.442,0.9313
10795,1,5,QFX1003,15,3.8202,28.0548,87.8863,0.9297
10795,1,5,QFX1003,16,3.9422,28.0676,87.4522,0.9301
10795,1,5,QFX1003,17,3.6663,28.0492,87.9947,0.9296
18994,1,1,QFX1006,1,4.1242,28.138,90.7455,0.9225
18994,1,1,QFX1006,2,4.0108,28.1456,88.2548,0.9246
18994,1,1,QFX1006,3,4.124,28.119,86.9429,0.9188
18994,1,1,QFX1006,4,4.2862,28.1507,87.7271,0.9256
18994,1,1,QFX1006,5,4.2196,28.1636,87.2865,0.9283
18994,1,1,QFX1006,6,4.3585,28.1398,87.5883,0.9212
18994,1,1,QFX1006,7,4.1391,28.1481,89.711,0.9239
18994,1,1,QFX1006,8,3.735,28.2101,88.4601,0.927
18994,1,1,QFX1006,9,4.5696,28.1183,87.6029,0.9219
18994,1,1,QFX1006,10,4.828,28.1294,87.2363,0.9207
18994,1,1,QFX1006,11,5.1295,28.1632,87.2191,0.929
18994,1,1,QFX1006,12,5.0473,28.1643,88.1587,0.9263
18994,1,1,QFX1006,13,5.0018,28.1597,87.3464,0.9284
18994,1,1,QFX1006,14,3.7234,28.2518,89.1957,0.9313
18994,1,1,QFX1006,15,4.491,28.1328,87.1663,0.923
18994,1,1,QFX1006,16,4.3996,28.1551,86.7471,0.9253
18994,1,1,QFX1006,17,4.1692,28.1437,87.3661,0.9244
18994,1,1,QFX1006,1,4.1733,28.1421,90.852,0.9236
18994,1,1,QFX1006,2,4.0525,28.1451,88.3643,0.9257
18994,1,1,QFX1006,3,4.1406,28.1254,87.1886,0.9226
18994,1,1,QFX1006,4,4.3466,28.1596,87.82,0.9263
18994,1,1,QFX1006,5,4.2872,28.1644,87.2894,0.9275
18994,1,1,QFX1006,6,4.4137,28.1321,87.6051,0.9224
18994,1,1,QFX1006,7,4.1762,28.1487,89.775,0.9235
18994,1,1,QFX1006,8,3.7781,28.2149,88.4538,0.9286
18994,1,1,QFX1006,9,4.6168,28.1282,87.7008,0.9234
18994,1,1,QFX1006,10,4.8559,28.1321,87.3552,0.9216
18994,1,1,QFX1006,11,5.1881,28.1706,87.2042,0.9282
18994,1,1,QFX1006,12,5.0883,28.1733,88.2233,0.928
18994,1,1,QFX1006,13,5.0401,28.1607,87.3647,0.9283
18994,1,1,QFX1006,14,3.7269,28.25,89.1477,0.9308
18994,1,1,QFX1006,15,4.5524,28.1381,87.2689,0.9228
18994,1,1,QFX1006,16,4.4497,28.1544,86.7604,0.9264
18994,1,1,QFX1006,17,4.2257,28.1403,87.4095,0.925
18994,1,1,QFX1006,1,4.2642,28.14,90.8266,0.922
18994,1,1,QFX1006,2,4.0975,28.149,88.3696,0.925
18994,1,1,QFX1006,3,4.1966,28.1205,87.0586,0.9191
18994,1,1,QFX1006,4,4.4498,28.1626,87.8551,0.927
18994,1,1,QFX1006,5,4.3547,28.1656,87.3208,0.9279
18994,1,1,QFX1006,6,4.4697,28.1303,87.5948,0.9221
18994,1,1,QFX1006,7,4.2603,28.1492,89.7682,0.9239
18994,1,1,QFX1006,8,3.8182,28.2197,88.5628,0.9288
18994,1,1,QFX1006,9,4.6654,28.1356,87.7788,0.9233
18994,1,1,QFX1006,10,4.9204,28.1406,87.4073,0.924
18994,1,1,QFX1006,11,5.2422,28.1653,87.2459,0.9303
18994,1,1,QFX1006,12,5.157,28.1747,88.2213,0.9269
18994,1,1,QFX1006,13,5.1235,28.1567,87.3416,0.9281
18994,1,1,QFX1006,14,3.8079,28.2472,89.1665,0.931
18994,1,1,QFX1006,15,4.6728,28.1384,87.2072,0.9229
18994,1,1,QFX1006,16,4.5021,28.15,86.7277,0.9258
18994,1,1,QFX1006,17,4.3266,28.1485,87.4118,0.9252
18994,1,1,QFX1006,1,4.3668,28.1334,90.8237,0.9219
18994,1,1,QFX1006,2,4.1952,28.1462,88.3571,0.9243
18994,1,1,QFX1006,3,4.3118,28.1356,87.2098,0.9233
18994,1,1,QFX1006,4,4.5439,28.1552,87.855,0.9262
18994,1,1,QFX1006,5,4.4627,28.1714,87.3551,0.9301
18994,1,1,QFX1006,6,4.5798,28.13,87.634,0.9219
18994,1,1,QFX1006,7,4.325,28.1495,89.7917,0.9244
18994,1,1,QFX1006,8,3.8767,28.2176,88.526,0.9297
18994,1,1,QFX1006,9,4.7356,28.1365,87.7713,0.9241
18994,1,1,QFX1006,10,4.9956,28.1475,87.5268,0.9257
18994,1,1,QFX1006,11,5.3279,28.1749,87.2734,0.9299
18994,1,1,QFX1006,12,5.2324,28.1698,88.2157,0.9274
18994,1,1,QFX1006,13,5.2029,28.1552,87.3535,0.9275
18994,1,1,QFX1006,14,3.8929,28.2456,89.1678,0.9316
18994,1,1,QFX1006,15,4.7236,28.1378,87.2176,0.9227
18994,1,1,QFX1006,16,4.5446,28.1547,86.7129,0.9254
18994,1,1,QFX1006,17,4.3557,28.1429,87.4052,0.9255
18994,1,1,QFX1006,1,4.4374,28.1367,90.8308,0.9226
18994,1,1,QFX1006,2,4.2628,28.1511,88.3601,0.9246
18994,1,1,QFX1006,3,4.3589,28.1318,87.2035,0.9229
18994,1,1,QFX1006,4,4.6039,28.1582,87.7931,0.927
18994,1,1,QFX1006,5,4.5203,28.1674,87.3258,0.9284
18994,1,1,QFX1006,6,4.6707,28.1315,87.556,0.9214
18994,1,1,QFX1006,7,4.3913,28.1446,89.7514,0.9235
18994,1,1,QFX1006,8,3.9521,28.2233,88.5833,0.9284
18994,1,1,QFX1006,9,4.7637,28.1261,87.7943,0.9228
18994,1,1,QFX1006,10,5.0523,28.1511,87.5287,0.9242
18994,1,1,QFX1006,11,5.3908,28.175,87.2544,0.9297
18994,1,1,QFX1006,12,5.3312,28.1746,88.2038,0.9272
18994,1,1,QFX1006,13,5.2867,28.1632,87.3215,0.9276
18994,1,1,QFX1006,14,3.9509,28.248,89.1568,0.9308
18994,1,1,QFX1006,15,4.8434,28.1374,87.1955,0.9235
18994,1,1,QFX1006,16,4.6106,28.1504,86.7345,0.9246
18994,1,1,QFX1006,17,4.4527,28.153,87.446,0.9261
31020,2,1,QFX1001,1,4.8775,27.9332,90.4024,0.888
31020,2,1,QFX1001,2,4.7037,27.9321,87.8458,0.8912
31020,2,1,QFX1001,3,4.8318,27.9536,86.973,0.8939
